Priority,UAI,Asset Name,System,Catalogue Codes,Product Passport,Closure Evidence Objects,Closure Class,Closure State,Closure Build,Closure Wave,Identity / Sequence Gate,Terminal Chemistry Gate,Source / Composition Gate,Potency Gate,Ratio Gate,Compatibility Gate,Quality Gate,Sterility Gate,Human Evidence Gate,Direct Sale Gate,Platinum Status,Repository Validation
P1,CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,,P210,CERT-PPS-000022,CERT-EKS-000265; CERT-EKS-000266,UNKNOWN CNTF-FRAGMENT CANDIDATE / EVIDENCE-TRANSFER BLOCK,"BLOCKED — EXACT SEQUENCE, TERMINI, RESIDUE COUNT AND RELATIONSHIP TO P021 OR THE CNTF DGGL CORE ARE NOT ESTABLISHED",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000052,Thymalin Product Family,,TY10,CERT-PPS-000037,CERT-EKS-000305; CERT-EKS-000306,THYMUS-DERIVED POLYPEPTIDE EXTRACT / COMPOSITION AND SOURCE IDENTITY,"BLOCKED — SPECIES, TISSUE SOURCE, EXTRACTION PROCESS, PEPTIDE COMPOSITION, BATCH FINGERPRINT, STERILITY AND INDEPENDENT HUMAN EVIDENCE UNVERIFIED",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000063,Humanin Supplier Product Family,,HU10,CERT-PPS-000038,CERT-EKS-000307; CERT-EKS-000308,MITOCHONDRIAL-DERIVED PEPTIDE / NATIVE VERSUS ANALOGUE IDENTITY,"PARTIAL CLOSURE — CANONICAL 24-RESIDUE HUMANIN AND PRECLINICAL BIOLOGY IDENTIFIED; HU10 SEQUENCE, ANALOGUE STATUS, TERMINI, PURITY, STERILITY AND HUMAN INTERVENTION OPEN",0033B,"Wave 6 — Biologic, Glycoprotein & Mixture Identity Closure",BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000064,FOXO4-DRI Supplier Product Family,,F410,CERT-PPS-000039,CERT-EKS-000309; CERT-EKS-000310,ALL-D RETRO-INVERSO SENOLYTIC / TAT FUSION AND PRECLINICAL EVIDENCE,"PARTIAL CLOSURE — PUBLISHED 46-RESIDUE ALL-D FOXO4-DRI/TAT REFERENCE SEQUENCE AND PRECLINICAL MECHANISM IDENTIFIED; F410 SEQUENCE, SALT, PURITY, POTENCY, STERILITY, HUMAN SAFETY AND PRODUCT EQUIVALENCE OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000066,Vilon Supplier Product Family,,VI20,CERT-PPS-000040,CERT-EKS-000311; CERT-EKS-000312,KE DIPEPTIDE / TERMINAL CHEMISTRY AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — VILON LITERATURE IDENTITY LYS-GLU (KE) ESTABLISHED; VI20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY, HUMAN EVIDENCE AND PRODUCT STATUS OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000068,Bronchogen,,BR20,CERT-PPS-000041,CERT-EKS-000313; CERT-EKS-000314,AEDL TETRAPEPTIDE / RESPIRATORY POSITIONING AND HUMAN EVIDENCE,"PARTIAL CLOSURE — BRONCHOGEN LITERATURE IDENTITY ALA-GLU-ASP-LEU (AEDL) AND CELLULAR PROGRAMME IDENTIFIED; BR20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000069,Cardiogen,,CA20,CERT-PPS-000042,CERT-EKS-000315; CERT-EKS-000316,AEDR TETRAPEPTIDE / CARDIAC POSITIONING AND PRECLINICAL EVIDENCE,"PARTIAL CLOSURE — CARDIOGEN LITERATURE IDENTITY ALA-GLU-ASP-ARG (AEDR) AND ORGANOTYPIC MYOCARDIAL EVIDENCE IDENTIFIED; CA20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000070,Cortagen,,COR20,CERT-PPS-000043,CERT-EKS-000317; CERT-EKS-000318,AEDP TETRAPEPTIDE / CORTICAL POSITIONING AND EVIDENCE QUALITY,"PARTIAL CLOSURE — CORTAGEN LITERATURE IDENTITY ALA-GLU-ASP-PRO (AEDP) AND CELL/ANIMAL PROGRAMME IDENTIFIED; COR20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN EVIDENCE OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000071,Livagen,,LI20,CERT-PPS-000044,CERT-EKS-000319; CERT-EKS-000320,KEDA TETRAPEPTIDE / HEPATIC POSITIONING AND HUMAN TRANSLATION,"PARTIAL CLOSURE — LIVAGEN LITERATURE IDENTITY LYS-GLU-ASP-ALA (KEDA) AND IN-VITRO/ANIMAL PROGRAMME IDENTIFIED; LI20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033C,Wave 7 — Senolytic & Short Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000072,Pancragen,,PA20,CERT-PPS-000045,CERT-EKS-000321; CERT-EKS-000322,KEDW TETRAPEPTIDE / TERMINAL AMIDE AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — PANCRAGEN RESIDUE ORDER LYS-GLU-ASP-TRP (KEDW) AND NON-HUMAN/HUMAN REGIONAL LITERATURE IDENTIFIED; PA20 TERMINAL CHEMISTRY, SALT, ANALYTICAL IDENTITY, STERILITY AND CLINICAL EQUIVALENCE OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000073,Prostamax,,MAX20,CERT-PPS-000046,CERT-EKS-000323; CERT-EKS-000324,KEDP TETRAPEPTIDE / PROSTATE POSITIONING AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — NLM/PUBCHEM IDENTITY LYS-GLU-ASP-PRO (KEDP) AND LIMITED CHROMATIN/ORGANOTYPIC LITERATURE IDENTIFIED; MAX20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000074,Cartalax,,LAX20,CERT-PPS-000047,CERT-EKS-000325; CERT-EKS-000326,AED TRIPEPTIDE / CARTILAGE POSITIONING AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — NLM MESH/PUBCHEM IDENTITY ALA-GLU-ASP (AED) AND PRECLINICAL CELLULAR LITERATURE IDENTIFIED; LAX20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000075,Chonluten,,CH20,CERT-PPS-000048,CERT-EKS-000327; CERT-EKS-000328,EDG TRIPEPTIDE / RESPIRATORY AND IMMUNE CELL-CULTURE EVIDENCE,"PARTIAL CLOSURE — PRIMARY METHODS IDENTIFY CHONLUTEN AS GLU-ASP-GLY (EDG) AND HUMAN THP-1 CELL-CULTURE EVIDENCE EXISTS; CH20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN CLINICAL BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000076,Crystagen,,CRY20,CERT-PPS-000049,CERT-EKS-000329; CERT-EKS-000330,CONFLICTING SUPPLIER IDENTITY / IMMUNE BIOREGULATOR NAME,"BLOCKED — PUBLIC SOURCES CONFLICT BETWEEN EDP AND PQN IDENTITIES, NO AUTHORITATIVE PRIMARY SEQUENCE RECORD WAS CLOSED, AND CRY20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND HUMAN EVIDENCE REMAIN OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000077,Ovagen,,OV20,CERT-PPS-000050,CERT-EKS-000331; CERT-EKS-000332,NAME COLLISION AND CONFLICTING SHORT-PEPTIDE IDENTITY,"BLOCKED — OVAGEN NAME COLLIDES WITH A VETERINARY FSH PRODUCT; SHORT-PEPTIDE SOURCES CONFLICT OR LACK PRIMARY AUTHENTICATION, AND OV20 SEQUENCE, TERMINI, SALT, QUALITY AND HUMAN EVIDENCE REMAIN OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000078,Vesugen,,VE20,CERT-PPS-000051,CERT-EKS-000333; CERT-EKS-000334,KED TRIPEPTIDE / VASCULAR POSITIONING AND SUPPLIER EQUIVALENCE,"PARTIAL CLOSURE — PRIMARY LITERATURE IDENTIFIES VESUGEN AS LYS-GLU-ASP (KED) AND CELL/SMALL REGIONAL HUMAN REPORTS EXIST; VE20 TERMINI, SALT, ANALYTICAL IDENTITY, STERILITY AND CONTROLLED HUMAN BENEFIT OPEN",0033D,Wave 8 — Remaining Organ-Regulatory Peptide Identity Closure,BLOCKED,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,,BB4; BB10; BB20,CERT-PPS-000024,CERT-EKS-000269; CERT-EKS-000270,TWO-COMPONENT REPAIR BLEND / TB FRAGMENT AND RATIO IDENTITY,"BLOCKED — EXACT TB COMPONENT, BPC-157 FORM, FIXED RATIO, CO-LYOPHILISATION, STABILITY AND HUMAN COMBINATION EVIDENCE UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,,BBG70,CERT-PPS-000025,CERT-EKS-000271; CERT-EKS-000272,THREE-COMPONENT REPAIR BLEND / COPPER AND PEPTIDE COMPATIBILITY,"BLOCKED — COMPONENT IDENTITIES, COPPER STOICHIOMETRY, FIXED RATIO, REDOX STABILITY, AGGREGATION AND HUMAN COMBINATION EVIDENCE UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,,KL80,CERT-PPS-000026,CERT-EKS-000273; CERT-EKS-000274,FOUR-COMPONENT REPAIR BLEND / MULTI-PEPTIDE AND COPPER ANALYTICS,"BLOCKED — FOUR COMPONENT IDENTITIES, COPPER STATE, RATIO, COMPATIBILITY, STABILITY AND COMBINATION-SPECIFIC HUMAN SAFETY UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,,CS10,CERT-PPS-000023,CERT-EKS-000267; CERT-EKS-000268,FIXED-RATIO METABOLIC COMBINATION / CLINICAL-MATERIAL NON-EQUIVALENCE,"PARTIAL CLINICAL-PROGRAMME CLOSURE — PHASE 3 CAGRISEMA EVIDENCE AND CURRENT US REGULATORY REVIEW IDENTIFIED; CS10 COMPONENT, FORMULATION AND PRODUCT EQUIVALENCE OPEN",0031C,"Wave 3 — Combination, Opioid & Unknown Peptide Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,,RC10,CERT-PPS-000027,CERT-EKS-000275; CERT-EKS-000276,EXPERIMENTAL MULTI-RECEPTOR METABOLIC COMBINATION,"BLOCKED — EXACT COMPONENT FORMS, FIXED RATIO, CO-FORMULATION, DIRECT HUMAN COMBINATION EVIDENCE AND REGULATORY STATUS UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,,TI18,CERT-PPS-000028,CERT-EKS-000277; CERT-EKS-000278,DUAL GH-AXIS SECRETAGOGUE / AUTHORISED-PRODUCT NON-EQUIVALENCE,"BLOCKED — EXACT COMPONENT FORMS, 2:1 RATIO, COMBINATION PK/PD, STABILITY AND DIRECT HUMAN EVIDENCE UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000087,Semax + Selank Supplier Blend,,XS20,CERT-PPS-000029,CERT-EKS-000279; CERT-EKS-000280,FIXED-RATIO NEUROPEPTIDE BLEND / LIMITED HUMAN AND QUALITY EVIDENCE,"BLOCKED — EXACT PARENT FORMS, FIXED RATIO, CO-FORMULATION, ROUTE, STABILITY AND DIRECT COMBINATION HUMAN EVIDENCE UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,,CP10; CP20,CERT-PPS-000030,CERT-EKS-000281; CERT-EKS-000282,DUAL GH-AXIS BLEND / CJC-NAMING AND STRUCTURAL IDENTITY,"BLOCKED — MODIFIED GRF SEQUENCE, IPAMORELIN FORM, FIXED RATIO, COMPATIBILITY, PK/PD AND DIRECT HUMAN COMBINATION EVIDENCE UNVERIFIED",0031D,Wave 4 — Combination-Product Analytical Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000089,Elamipretide / SS-31,PKS,2S10; 2S50,CERT-PPS-000031,CERT-EKS-000293; CERT-EKS-000294,AUTHORISED FORZINITY PRODUCT VERSUS SUPPLIER SS-31 POWDER,"PARTIAL CLOSURE — CANONICAL ELAMIPRETIDE AND CURRENT FORZINITY STATUS IDENTIFIED; SUPPLIER SALT, STERILITY, FORMULATION, MANUFACTURER AND COMPARABILITY OPEN",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P1,CERT-PKS-000090,Generic GLP-1 Supplier Product Family,PKS,GP,CERT-PPS-000032,CERT-EKS-000295; CERT-EKS-000296,CRITICAL NATIVE GLP-1 MOLECULAR FORM AND PRODUCT IDENTITY,"BLOCKED — RESIDUE RANGE, C-TERMINAL FORM, ANALOGUE STATUS, SALT, POTENCY, ROUTE, STERILITY AND PRODUCT-SPECIFIC HUMAN EVIDENCE UNVERIFIED",0033A,"Wave 5 — Biochemical, Metabolic & Coverage-Correction Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
